id,name,sex,dob,num_course_taken,career_path_name,hours_to_complete,time_spent_hrs,prcnt_complete,job_category,city,state
1282,Minh Gavulik,F,1969-03-07,12.0,data scientist,20.0,6.86,0.343,software developer,Lucas village,Oklahoma
1283,Jenni Costa,N,1988-10-06,0.0,software engineering,25.0,19.89,0.7956,analytics,South Venice,Illinois
1284,Matthew Dunn,M,1989-04-29,9.0,,,,,HR,Eden Valley,Alaska
1285,Josette Hancock,F,1968-07-07,15.0,frontend engineer,20.0,19.36,0.968,financial services,New Canton,Iowa
1286,Vernon Ris,F,1984-03-05,11.0,ux/ui designer,15.0,3.26,0.21733333333333332,software developer,Poplar,Oregon
1287,Shanti Bruijnen,F,1998-11-18,12.0,software engineering,25.0,6.08,0.2432,HR,Silas,Arkansas
1288,Irvin Garrison,M,1963-10-09,0.0,,,,,creative,Lester,Kansas
1289,Lettie Drinhuijzen,F,1960-08-19,15.0,android developer,27.0,14.75,0.5462962962962963,education,Tappan,Wyoming
1290,Oda Day,F,1969-12-04,11.0,data analyst,12.0,5.45,0.45416666666666666,engineer,Gadsden,Pennsylvania
1291,Christian Mcgrath,M,1977-01-30,5.0,software engineering,25.0,10.83,0.43320000000000003,software developer,Reklaw,Massachusetts
1292,Brady Ruys,M,2003-04-13,0.0,data engineer,20.0,18.11,0.9055,student,Pembroke,Indiana
1293,Minnie van Veen,F,1943-11-08,6.0,ux/ui designer,15.0,14.74,0.9826666666666667,financial services,Weirton,Louisiana
1294,Horacio Drake,M,1962-06-19,8.0,iOS developer,27.0,20.0,0.7407407407407407,analytics,Alberton,Texas
1295,Lacy Dickerson,N,1983-11-09,0.0,data engineer,20.0,2.53,0.1265,analytics,Western village,Kentucky
1296,Joanne Vandersmissen,F,1982-01-04,10.0,frontend engineer,20.0,16.65,0.8324999999999999,education,Claypool,North Dakota
1297,Elmo Shaw,M,1980-05-21,14.0,software engineering,25.0,3.89,0.15560000000000002,education,Lawrence Park,New York
1298,Leoma Kidd,F,1953-10-06,14.0,frontend engineer,20.0,5.59,0.27949999999999997,engineer,Mebane,Kansas
1299,Dreama Riddle,F,1955-06-26,11.0,,,,,analytics,Newport Coast,Ohio
1300,Porter Campbell,M,1997-12-09,5.0,software engineering,25.0,5.46,0.2184,education,Le Roy village,Louisiana
1301,Kandis Reilly,F,2003-09-02,0.0,software engineering,25.0,13.4,0.536,student,Stonewood,Indiana
1302,Roosevelt Sawyer,M,1957-09-29,7.0,ux/ui designer,15.0,12.26,0.8173333333333334,software developer,Springborough,Florida
1303,Noel Schutter,M,1987-09-02,2.0,backend engineer,18.0,5.93,0.32944444444444443,education,Lower Lake,Kansas
1304,Kortney van Het kaar,F,1958-10-13,2.0,software engineering,25.0,0.13,0.0052,HR,Bethesda,Georgia
1305,Titus Galvan,M,1945-11-27,0.0,data scientist,20.0,7.07,0.35350000000000004,creative,Kennett,Oklahoma
1306,Fay Mathis,F,1959-05-05,6.0,iOS developer,27.0,12.21,0.45222222222222225,creative,Belcher,West Virginia
1307,Rutha Mijzen,F,1970-10-21,12.0,data engineer,20.0,14.75,0.7375,software developer,Morrisonville,Georgia
1308,Hai Pfeil,N,1991-01-04,7.0,backend engineer,18.0,15.35,0.8527777777777777,analytics,Kensett,Louisiana
1309,Signe Brugman,N,1968-02-04,6.0,,,,,HR,Gillett Grove,Massachusetts
1310,Buster Medina,M,1984-10-18,1.0,iOS developer,27.0,23.87,0.8840740740740741,analytics,Niles village,Maine
1311,Luther de Leeuw,M,1964-06-04,0.0,frontend engineer,20.0,1.23,0.0615,engineer,High Hill,Connecticut
1312,Antwan Thomson,M,1948-11-09,11.0,data analyst,12.0,12.9,1.075,education,Morada,Delaware
1313,Brigid van Waay,F,1995-09-14,2.0,software engineering,25.0,18.91,0.7564,engineer,Elma Center,Ohio
1314,Shirely Cannon,N,1965-12-11,5.0,data scientist,20.0,19.38,0.969,financial services,Mountain Brook,Hawaii
1315,Lynelle Powell,F,1953-08-27,8.0,,,,,analytics,Belvidere,Iowa
1316,Buddy van Westrhenen,M,1958-04-02,9.0,machine learning engineer,35.0,26.28,0.7508571428571429,analytics,Cedar Glen West,Kansas
1317,Freeman Holcomb,N,1981-04-10,0.0,ux/ui designer,15.0,0.79,0.05266666666666667,engineer,Pine Lake,Maryland
1318,Basilia de Lang,N,2003-01-25,0.0,machine learning engineer,35.0,27.06,0.7731428571428571,student,Brecksville,Georgia
1319,Layne van Leersum,F,1977-11-12,2.0,software engineering,25.0,18.96,0.7584000000000001,education,Wheat Ridge,Colorado
1320,Paris Quackenbosch,M,1948-02-26,0.0,android developer,27.0,23.41,0.867037037037037,education,Lecompte,New York
1321,Devon Berger,M,1987-01-09,2.0,data engineer,20.0,8.29,0.4145,creative,North Judson,Idaho
1322,Jennine Hampton,N,1947-12-12,6.0,frontend engineer,20.0,18.23,0.9115,engineer,Gideon,California
1323,Richie Finch,N,1996-12-15,2.0,software engineering,25.0,2.16,0.0864,software developer,New Canton,Delaware
1324,Kasie Baker,N,1997-01-11,14.0,frontend engineer,20.0,10.16,0.508,analytics,Howardwick,Virginia
1325,Gabrielle Utrecht,N,1978-01-31,12.0,machine learning engineer,35.0,7.04,0.20114285714285715,HR,Lindsey village,New Hampshire
1326,Luther Voogd,M,1946-09-21,3.0,software engineering,25.0,19.96,0.7984,education,Biloxi,Oklahoma
1327,Gussie Marquez,N,1955-05-27,0.0,data scientist,20.0,7.9,0.395,engineer,Lanesboro borough,Wisconsin
1328,Tammie Robbins,F,1980-08-23,3.0,software engineering,25.0,4.5,0.18,financial services,Pico Rivera,Texas
1329,Sal van Haren,M,1951-05-09,13.0,data engineer,20.0,12.27,0.6134999999999999,education,Florissant,Kansas
1330,Benny van Triest,M,1959-09-15,7.0,ux/ui designer,15.0,2.3,0.15333333333333332,creative,Soquel,North Dakota
1331,Sherman Barber,N,1963-06-14,3.0,backend engineer,18.0,9.84,0.5466666666666666,software developer,Glen Lyon,Oregon
1332,Avis Wermeskerken,F,2001-10-28,10.0,software engineering,25.0,17.48,0.6992,analytics,Poplar village,New York
1333,Lewis Long,M,1975-07-09,9.0,ux/ui designer,15.0,15.25,1.0166666666666666,software developer,Wolf Lake,Maine
1334,Lenora Elliott,F,1982-11-22,9.0,data engineer,20.0,14.88,0.744,analytics,Westhaven-Moonstone,Oregon
1335,Refugio Doorn,F,2002-02-06,0.0,ux/ui designer,15.0,7.59,0.506,student,Superior village,Louisiana
1336,Dylan Freeman,M,2001-09-02,4.0,data analyst,12.0,7.34,0.6116666666666667,HR,Waconia,Washington
1337,Gregory Gomez,N,1950-06-03,1.0,data engineer,20.0,6.6,0.32999999999999996,software developer,Barneston village,North Carolina
1338,Marianela Lyons,F,1979-09-06,4.0,machine learning engineer,35.0,3.66,0.10457142857142858,engineer,Tomball,New Mexico
1339,Chara Rodriguez,F,1945-04-05,7.0,machine learning engineer,35.0,4.72,0.13485714285714284,education,Salem,Massachusetts
1340,Reanna Keiman,F,1987-06-05,5.0,data analyst,12.0,7.61,0.6341666666666667,software developer,Tabernash,Connecticut
1341,Shawnna Patton,F,1953-07-13,8.0,machine learning engineer,35.0,32.71,0.9345714285714286,engineer,Sherwood village,Georgia
1342,Garry Doorn,M,1952-08-31,1.0,software engineering,25.0,13.01,0.5204,creative,Fern Park,Arkansas
1343,Zachary Acevedo,M,1964-01-09,10.0,,,,,financial services,Falcon Mesa,New York
1344,Sylvie Delaney,F,1954-03-24,8.0,data engineer,20.0,4.03,0.2015,HR,Oakton,Hawaii
1345,Peter Dean,M,1975-07-26,8.0,data engineer,20.0,12.38,0.619,creative,Shuqualak,Montana
1346,Colton Dircx,M,1981-03-07,3.0,iOS developer,27.0,26.54,0.9829629629629629,software developer,League,North Carolina
1347,Valery Santos,N,1984-07-21,0.0,machine learning engineer,35.0,0.23,0.006571428571428572,engineer,Manasquan borough,Pennsylvania
1348,Veola Jepson,F,2003-04-10,2.0,ux/ui designer,15.0,12.94,0.8626666666666666,student,Lochsloy,North Carolina
1349,Jamel Dale,M,1972-12-15,12.0,iOS developer,27.0,20.75,0.7685185185185185,education,South Weber,Indiana
1350,Theron Young,M,1985-05-25,9.0,iOS developer,27.0,22.15,0.8203703703703703,engineer,New Castle,Mississippi
1351,Berna Koks,F,1967-02-12,2.0,backend engineer,18.0,12.97,0.7205555555555556,creative,River Forest,South Dakota
1352,Florencio Frey,M,1949-09-02,13.0,frontend engineer,20.0,3.75,0.1875,software developer,Anthony,Alaska
1353,Thanh Guzman,M,1979-05-21,7.0,,,,,financial services,Vinita,Louisiana
1354,Kristina Slot,F,1961-12-23,2.0,iOS developer,27.0,9.29,0.34407407407407403,software developer,Ellington,Wyoming
1355,Ike Irwin,M,1963-06-11,0.0,ux/ui designer,15.0,15.65,1.0433333333333334,creative,Housatonic,Texas
1356,Mohammed Nap,M,1959-01-03,8.0,android developer,27.0,20.84,0.7718518518518519,engineer,Plevna,Wyoming
1357,Clemente Dougherty,N,1972-01-30,0.0,machine learning engineer,35.0,31.81,0.9088571428571428,education,Clemson,Colorado
1358,Norman Morton,F,1992-09-21,5.0,data analyst,12.0,1.65,0.13749999999999998,education,Clintwood,Oregon
1359,Kathryne Hoyuers,F,1948-05-07,3.0,software engineering,25.0,20.84,0.8336,financial services,Ashton,Tennessee
1360,Quinton Piloo,M,1978-07-19,11.0,backend engineer,18.0,2.53,0.14055555555555554,creative,Enumclaw,New Mexico
1361,Shona Bryan,F,1980-02-13,11.0,ux/ui designer,15.0,8.3,0.5533333333333333,software developer,Panorama Village,Tennessee
1362,William Peterson,M,1974-12-17,4.0,data scientist,20.0,17.77,0.8885,financial services,Wilsall,Kansas
1363,Emmanuel Hoogerwerf,N,1980-01-03,6.0,,,,,creative,Hazlehurst,Utah
1364,Giovanni van Eldik,N,1971-07-12,14.0,software engineering,25.0,11.47,0.45880000000000004,creative,Alorton village,Montana
1365,Randell de Blanck,N,1987-10-03,11.0,software engineering,25.0,0.0,0.0,creative,Burt,Oregon
1366,Donna Hack,F,1985-06-01,5.0,ux/ui designer,15.0,1.64,0.10933333333333332,analytics,Childersburg,Tennessee
1367,Ryan Warner,M,1980-10-13,0.0,data scientist,20.0,3.59,0.1795,software developer,Lake Crystal,California
1368,Chung Vernede,M,1974-12-23,5.0,data analyst,12.0,8.87,0.7391666666666666,financial services,South Brooksville,Hawaii
1369,Abby Wissink,F,1964-10-13,6.0,data scientist,20.0,1.16,0.057999999999999996,financial services,Epes,Louisiana
1370,Henrietta Ferdinandus,N,2000-09-18,5.0,iOS developer,27.0,19.58,0.7251851851851852,HR,Calabash,California
1371,Carie Jefferson,F,1977-05-10,15.0,backend engineer,18.0,10.19,0.5661111111111111,financial services,Teachey,Alabama
1372,Steve Preys,M,1945-10-26,5.0,software engineering,25.0,14.19,0.5676,software developer,Lexington-Fayette,New Jersey
1373,Maud Rosieu,N,1970-01-05,6.0,software engineering,25.0,9.37,0.37479999999999997,engineer,Senatobia,Tennessee
1374,Lacresha Kerkhof,N,1979-07-13,0.0,android developer,27.0,20.21,0.7485185185185186,software developer,Maskell village,Indiana
1375,Rachel Stark,F,1991-12-21,12.0,iOS developer,27.0,11.63,0.43074074074074076,financial services,Winter Haven,Nevada
1376,Chase van Ooyen,M,1971-05-13,6.0,backend engineer,18.0,18.9,1.0499999999999998,HR,Chautauqua,Michigan
1377,Estela Zwanenburg,F,2001-11-27,4.0,machine learning engineer,35.0,33.05,0.9442857142857142,HR,Shokan,Nebraska
1378,Tanya Elliott,F,1945-01-26,0.0,,,,,financial services,Western village,Oklahoma
1379,Deidra Nio,F,1952-04-19,0.0,android developer,27.0,26.73,0.99,HR,Silverdale borough,New Hampshire
1380,Ena Walter,F,1984-02-07,4.0,frontend engineer,20.0,4.9,0.24500000000000002,creative,Lincolnville,New Hampshire
1381,Piedad Dixon,F,1971-06-24,11.0,android developer,27.0,17.47,0.647037037037037,HR,Paterson,Washington
1382,Pete Mccoy,N,1951-08-29,7.0,ux/ui designer,15.0,12.15,0.81,education,Middleburgh village,New Jersey
1383,Sherrie Cortland,F,1987-06-29,15.0,machine learning engineer,35.0,7.63,0.218,software developer,Elk Park,Hawaii
1384,Seth Preys,M,1944-12-01,12.0,backend engineer,18.0,0.77,0.042777777777777776,HR,Frenchburg,Massachusetts
1385,Lillia Lynch,F,1947-07-23,15.0,data engineer,20.0,10.27,0.5135,creative,Advance,New Mexico
1386,Lyndon van Gravendijk,M,2002-08-30,0.0,software engineering,25.0,25.24,1.0095999999999998,student,Ottawa,Colorado
1387,Irmgard Tucker,F,1991-08-15,0.0,data scientist,20.0,20.73,1.0365,engineer,Layton,Mississippi
1388,Danial Valk,M,1965-12-17,9.0,data scientist,20.0,1.51,0.0755,engineer,Little Flock,Washington
1389,Melodi Lapperre,F,2001-01-05,3.0,android developer,27.0,25.14,0.9311111111111111,financial services,Homerborough,Texas
1390,Damien Barnes,N,2003-05-27,7.0,,,,,student,Echo Lake,Arkansas
1391,Milo Blackwell,M,1966-05-19,6.0,machine learning engineer,35.0,27.15,0.7757142857142857,software developer,Grand Ledge,Michigan
1392,Johnathon Valenzuela,M,2003-03-16,8.0,iOS developer,27.0,3.48,0.1288888888888889,student,Shoals,Missouri
1393,Alix Marsh,F,1983-03-18,14.0,backend engineer,18.0,0.74,0.04111111111111111,engineer,Trevorton,Maryland
1394,Jerome Griffin,M,1954-09-12,9.0,data scientist,20.0,20.52,1.026,analytics,San Benito,Rhode Island
1395,Perry Bowman,F,1962-03-30,8.0,data analyst,12.0,6.18,0.515,engineer,Cold Spring village,Texas
1396,Joni Blair,F,1974-12-20,0.0,machine learning engineer,35.0,30.66,0.876,software developer,Everly,West Virginia
1397,Eleni Snuif,N,1968-12-27,0.0,iOS developer,27.0,20.54,0.7607407407407407,education,Union Springs,Indiana
1398,Valrie Stanley,F,1953-10-23,11.0,backend engineer,18.0,2.17,0.12055555555555555,creative,Ayrshire,Florida
1399,Melisa Walraven,F,1981-02-13,15.0,data engineer,20.0,13.4,0.67,HR,Twain Harte,Maine
1400,Devorah Gillespie,F,1969-03-11,8.0,machine learning engineer,35.0,28.33,0.8094285714285714,engineer,Oscoda,Washington
1401,Stacia Siimmons,F,1964-12-19,15.0,data analyst,12.0,2.7,0.225,software developer,Arion,Colorado
1402,Kermit Whitfield,M,1968-02-19,13.0,iOS developer,27.0,8.97,0.33222222222222225,HR,South Dennis,Missouri
1403,Caitlin Novak,F,1994-12-10,4.0,frontend engineer,20.0,17.27,0.8634999999999999,analytics,Blanca,North Dakota
1404,Gil Houston,M,1945-10-06,3.0,backend engineer,18.0,18.06,1.0033333333333332,creative,Royalton village,Connecticut
1405,Odis Rivers,M,2003-08-07,15.0,machine learning engineer,35.0,5.84,0.16685714285714284,student,Nitro,Nebraska
1406,Burma Lam,F,1993-04-15,9.0,,,,,HR,High Ridge,Tennessee
1407,Ruben Herder,M,1959-09-29,12.0,backend engineer,18.0,10.76,0.5977777777777777,financial services,Delano,Michigan
1408,Francis Broadbent,M,1968-09-20,1.0,,,,,analytics,Corral,Indiana
1409,Lance Lang,M,1957-08-26,13.0,android developer,27.0,6.24,0.23111111111111113,analytics,Millheim borough,Maryland
1410,Ninfa Gill,F,1992-11-15,13.0,,,,,financial services,Pelzer,Nevada
1411,Meggan Roodnat,F,1999-05-21,10.0,ux/ui designer,15.0,10.42,0.6946666666666667,creative,Clearwater,Kentucky
1412,Giovanni de Jager,M,1989-05-29,8.0,android developer,27.0,23.25,0.8611111111111112,education,Kirtland,North Carolina
1413,Charlette van Batenburg,F,1959-04-20,3.0,data analyst,12.0,5.14,0.4283333333333333,education,Longview,Massachusetts
1414,Ronni Hensley,F,1977-12-21,1.0,backend engineer,18.0,17.95,0.9972222222222222,HR,Pilot Mound,Maine
1415,Dot Welch,N,1943-09-03,5.0,android developer,27.0,9.41,0.3485185185185185,education,Kernersville,Texas
1416,Federico Bowers,N,1946-04-24,11.0,frontend engineer,20.0,10.3,0.515,engineer,Oscoda,Massachusetts
1417,Genia Rowe,F,1963-06-27,14.0,backend engineer,18.0,18.57,1.0316666666666667,analytics,Elkhart village,Connecticut
1418,Rebekah Splinter,F,1975-03-03,2.0,software engineering,25.0,6.75,0.27,engineer,Hickory Flat,Montana
1419,Rich England,M,1957-05-28,0.0,,,,,HR,Maryhill,Georgia
1420,Mohamed Gregory,M,1952-08-24,10.0,ux/ui designer,15.0,12.65,0.8433333333333334,software developer,Gurnee village,Kentucky
1421,Patricia Knapp,F,1972-09-14,0.0,android developer,27.0,12.39,0.4588888888888889,software developer,Haven,California
1422,Johanne van der Beek,F,1977-08-28,11.0,data analyst,12.0,10.37,0.8641666666666666,software developer,Norris village,Alabama
1423,Delbert van Stockum,M,1990-08-21,1.0,software engineering,25.0,14.36,0.5744,analytics,Macksville,New York
1424,Eryn Cornelisz,F,2001-08-12,12.0,android developer,27.0,25.16,0.9318518518518518,software developer,Pigeon village,Tennessee
1425,Lacey van Est,F,1971-04-02,12.0,iOS developer,27.0,1.7,0.06296296296296296,education,Auburn borough,Delaware
1426,Clifton Newman,M,1979-08-30,0.0,android developer,27.0,21.15,0.7833333333333333,analytics,East Orange,Florida
1427,Tabetha Reehorst,F,1986-01-11,9.0,,,,,HR,Sunny Isles Beach,Maine
1428,Yuette Thomas,N,1947-01-02,15.0,data scientist,20.0,13.09,0.6545,financial services,Garden Grove,Florida
1429,Deandrea Groenewout,F,1989-07-22,5.0,iOS developer,27.0,2.57,0.09518518518518518,financial services,Carnegie borough,Maryland
1430,Shonta van Bolswaert,F,1966-10-30,10.0,machine learning engineer,35.0,12.61,0.36028571428571426,HR,Sedona,Arizona
1431,Andy van Imbyze,M,1986-04-11,5.0,android developer,27.0,9.59,0.35518518518518516,analytics,Euclid,Oklahoma
1432,Dave Santana,N,1973-02-16,5.0,iOS developer,27.0,14.82,0.5488888888888889,analytics,Oakland,Iowa
1433,Ellis Nedermyer,N,1962-02-26,6.0,software engineering,25.0,13.11,0.5244,HR,Palo,Arizona
1434,Ashleigh Gates,F,1945-10-25,10.0,software engineering,25.0,4.25,0.17,software developer,Redwood,South Carolina
1435,Margy Jepson,N,1953-06-16,12.0,android developer,27.0,15.68,0.5807407407407408,engineer,Cashmere,Mississippi
1436,Floyd Mckenzie,M,1989-05-22,9.0,software engineering,25.0,17.37,0.6948000000000001,financial services,Skidmore,South Dakota
1437,Everett Benedictus,M,1947-04-03,10.0,data engineer,20.0,5.32,0.266,HR,Sandwich,West Virginia
1438,Iesha Waters,F,1953-02-26,0.0,,,,,HR,Hallsville,Alabama
1439,Darren van Couwenhoven,M,1946-03-03,13.0,android developer,27.0,27.27,1.01,analytics,Pulaski village,South Carolina
1440,Cristobal Timmer,M,1995-12-12,15.0,data engineer,20.0,20.28,1.014,education,West Elkton village,Georgia
1441,Shakia Ris,F,1944-02-04,14.0,ux/ui designer,15.0,12.57,0.838,education,Church Rock,Connecticut
1442,Patrice van Rosmalen,F,1985-07-14,15.0,android developer,27.0,21.95,0.8129629629629629,analytics,Galena Park,Ohio
1443,Lien Hale,N,2003-09-15,4.0,backend engineer,18.0,3.7,0.20555555555555557,student,Silver Creek,New Jersey
1444,Maureen Moore,N,1944-12-29,3.0,iOS developer,27.0,10.33,0.3825925925925926,creative,Scobey,Florida
1445,Wes Beasley,M,1956-12-02,1.0,data engineer,20.0,4.74,0.23700000000000002,engineer,Titusville,New Hampshire
1446,Boyd Cabrera,M,1983-02-14,14.0,data analyst,12.0,10.72,0.8933333333333334,software developer,Gillett Grove,Mississippi
1447,Lennie van der Leeden,F,2000-07-13,7.0,data analyst,12.0,12.07,1.0058333333333334,software developer,New England,Tennessee
1448,Georgianna Bleijenberg,F,1974-01-04,10.0,,,,,financial services,Tonawanda,Hawaii
1449,Jeff Cohen,M,1987-03-25,6.0,data analyst,12.0,7.05,0.5875,financial services,Bone Gap village,New Hampshire
1450,Courtney Curtis,M,1980-02-09,7.0,machine learning engineer,35.0,28.84,0.824,HR,Mission Woods,California
1451,Paris Ware,M,1958-09-10,5.0,frontend engineer,20.0,13.95,0.6975,engineer,Tri-Lakes,Tennessee
1452,Keith Obrien,F,1944-12-31,10.0,backend engineer,18.0,11.58,0.6433333333333333,creative,Cloverport,New Hampshire
1453,Sean van Gravendijk,M,1963-02-24,3.0,backend engineer,18.0,0.1,0.005555555555555556,analytics,Haubstadt,Hawaii
1454,Raul Mercer,M,1948-03-16,8.0,software engineering,25.0,15.43,0.6172,financial services,Wanamassa,Georgia
1455,Terrie Mejia,F,1948-02-11,11.0,frontend engineer,20.0,1.12,0.05600000000000001,HR,Levasy,Arkansas
1456,Nellie Mora,F,1975-03-01,10.0,software engineering,25.0,12.0,0.48,HR,Beaver Dam,Wisconsin
1457,Tyrone van Asch,N,1972-11-10,14.0,data engineer,20.0,20.55,1.0275,HR,Richmond West,Michigan
1458,Shizuko Ferguson,F,1981-04-07,3.0,android developer,27.0,25.15,0.9314814814814815,engineer,Hapeville,Delaware
1459,Fredia Herring,N,1994-01-10,9.0,backend engineer,18.0,18.57,1.0316666666666667,financial services,Seth Ward,Alabama
1460,Serafina Michael,F,1960-07-15,13.0,data scientist,20.0,2.01,0.10049999999999999,education,Leisure e,New York
1461,Hisako Conway,F,1990-05-18,7.0,backend engineer,18.0,6.63,0.36833333333333335,software developer,Estell Manor,Maine
1462,Jules Verhoef,N,1983-12-26,0.0,software engineering,25.0,24.77,0.9908,education,Argos,Arkansas
1463,Ray Ferguson,N,1947-09-08,1.0,machine learning engineer,35.0,3.19,0.09114285714285714,engineer,Eagle River,Illinois
1464,Hipolito Cardenas,M,1947-03-31,14.0,frontend engineer,20.0,12.09,0.6045,HR,Pennsauken,Utah
1465,Maggie Cortland,F,1976-09-25,1.0,data scientist,20.0,2.21,0.1105,creative,Fox Island,Oklahoma
1466,Scottie Roach,N,2004-08-29,8.0,data engineer,20.0,11.69,0.5845,student,Pomeroy village,Illinois
1467,Fredric Verkruysse,M,1982-01-29,1.0,data engineer,20.0,4.66,0.233,HR,Slaton,New Hampshire
1468,Melania Pittman,N,1949-02-21,12.0,data scientist,20.0,18.43,0.9215,HR,Hartsburg,Washington
1469,Lester Herman,M,1951-06-06,7.0,,,,,creative,Bayside,Indiana
1470,Cherilyn Potter,F,1991-06-05,2.0,frontend engineer,20.0,9.3,0.465,engineer,Niceville,Michigan
1471,Elouise Ray,F,1950-04-05,0.0,backend engineer,18.0,8.04,0.4466666666666666,software developer,Lucama,New Mexico
1472,Titus Langer,M,1966-01-31,14.0,frontend engineer,20.0,17.91,0.8955,creative,Westmont village,Wisconsin
1473,Rudolph Russo,N,1971-12-05,5.0,data engineer,20.0,6.98,0.34900000000000003,education,Pittston,Virginia
1474,Grover Horn,M,1968-12-26,3.0,,,,,education,Oglethorpe,Rhode Island
1475,Reyes Wise,M,1987-05-11,6.0,iOS developer,27.0,11.96,0.442962962962963,analytics,Elberton,Rhode Island
1476,Rosamaria Monroe,F,1960-06-14,9.0,software engineering,25.0,11.19,0.4476,engineer,Sunny Isles Beach,Pennsylvania
1477,Sean Porter,M,1991-02-18,4.0,data engineer,20.0,8.17,0.4085,education,Newell,New Hampshire
1478,Janita Oconnell,N,1999-04-16,4.0,software engineering,25.0,1.22,0.048799999999999996,software developer,Linthicum,Iowa
1479,Sherika de Leeuw,F,1971-04-23,10.0,data scientist,20.0,1.07,0.053500000000000006,financial services,Upper Grand Lagoon,Delaware
1480,Kena Good,F,1944-09-12,8.0,,,,,analytics,Onaway,Massachusetts
1481,Timothy Holder,N,1961-02-02,11.0,backend engineer,18.0,17.82,0.99,creative,Golden village,South Dakota
1482,Vaughn van Hattum,M,1970-12-12,10.0,iOS developer,27.0,27.46,1.017037037037037,creative,Murchison,Pennsylvania
1483,Kelley Yoder,F,1959-09-21,13.0,ux/ui designer,15.0,7.12,0.4746666666666667,education,Constantine village,Missouri
1484,Gilberto Duran,M,1944-12-16,2.0,android developer,27.0,14.62,0.5414814814814815,creative,Wanda,New York
1485,Art Pest,M,1954-03-19,7.0,android developer,27.0,24.15,0.8944444444444444,education,Fords,Oklahoma
1486,Ivana Goudkade,N,1993-09-30,5.0,data analyst,12.0,2.67,0.2225,financial services,Aromas,Illinois
1487,Jerrold Hurst,M,1988-09-04,2.0,data engineer,20.0,11.73,0.5865,HR,Gasconade,Pennsylvania
1488,Emil Renville,M,1949-12-14,3.0,data analyst,12.0,8.98,0.7483333333333334,analytics,Bunker Hill Village,Wyoming
1489,Tessa Huber,F,1954-03-06,0.0,frontend engineer,20.0,15.15,0.7575000000000001,creative,Glendora village,New Jersey
1490,Jennefer Buitenweg,N,1979-10-12,7.0,data engineer,20.0,1.03,0.051500000000000004,HR,Monowi village,California
1491,Alfredia Mcdowell,F,1959-04-27,15.0,iOS developer,27.0,5.87,0.2174074074074074,engineer,Panorama Village,Virginia
1492,Jayne Novak,F,1959-08-01,13.0,data analyst,12.0,7.47,0.6224999999999999,financial services,Ronceverte,Kentucky
1493,Domingo Bol,M,1989-09-07,8.0,data engineer,20.0,7.3,0.365,financial services,Cornwall borough,Missouri
1494,Pam Buitenweg,F,1950-11-29,12.0,data engineer,20.0,12.46,0.623,software developer,Pampa,Nebraska
1495,Alfred Ulrich,M,1964-10-29,12.0,iOS developer,27.0,7.3,0.27037037037037037,financial services,Portola Hills,West Virginia
1496,Orville Hardy,M,1949-10-07,5.0,,,,,HR,Amsterdam village,Arizona
1497,Hoyt Dorrepaal,N,1959-07-30,11.0,data engineer,20.0,19.99,0.9994999999999999,software developer,Freedom,Pennsylvania
1498,Nedra Grimes,N,1945-01-21,9.0,data scientist,20.0,5.11,0.2555,HR,Matamoras borough,Connecticut
1499,Van Castaneda,M,1998-04-07,13.0,data scientist,20.0,4.13,0.2065,education,Great Bend,West Virginia
1500,Ahmad Hoorenman,M,1984-11-28,6.0,data scientist,20.0,5.86,0.29300000000000004,analytics,Janesville,Michigan
1501,Alberto Veltkamp,M,1960-01-22,3.0,ux/ui designer,15.0,10.0,0.6666666666666666,creative,Hollister,Delaware
1502,Craig Mcbride,M,1975-01-04,9.0,iOS developer,27.0,23.72,0.8785185185185185,software developer,Black Canyon,New York
1503,Hyman Calderon,M,1971-12-15,15.0,data scientist,20.0,5.97,0.2985,analytics,Greece,Tennessee
1504,Earl Oosthuijzen,M,1986-12-10,6.0,backend engineer,18.0,18.22,1.0122222222222221,creative,Freeport,Tennessee
1505,Hal Mata,M,1967-07-11,14.0,data analyst,12.0,11.1,0.9249999999999999,analytics,Bee Cave village,Utah
1506,Naoma Bentley,N,1975-04-17,11.0,backend engineer,18.0,15.97,0.8872222222222222,HR,Lake Telemark,Rhode Island
1507,Antonia Beard,F,1995-09-25,12.0,iOS developer,27.0,7.89,0.2922222222222222,financial services,Rahway,Nebraska
1508,Oscar Meester,M,1994-07-01,15.0,data engineer,20.0,3.39,0.1695,HR,Prescott village,North Carolina
1509,Gaylord Mijzen,N,1967-02-06,5.0,data scientist,20.0,17.56,0.8779999999999999,analytics,Silas,Michigan
1510,Mathilde Buckley,F,1979-12-22,2.0,iOS developer,27.0,23.27,0.8618518518518519,HR,Lidderdale,Ohio
1511,Ester Rivers,F,1965-08-19,14.0,,,,,education,Zapata Ranch,Nebraska
1512,Levi Montgomery,M,1959-06-17,0.0,machine learning engineer,35.0,9.39,0.2682857142857143,creative,Glenns Ferry,Iowa
1513,Henry Freeman,M,2002-02-12,1.0,,,,,student,Harmony ship,Maine
1514,Emory de Prijs,N,1991-02-03,2.0,data analyst,12.0,9.27,0.7725,engineer,Ellis,Idaho
1515,Joel Leonard,N,1955-07-26,10.0,data scientist,20.0,18.22,0.9109999999999999,analytics,Carnegie borough,Washington
1516,Barton Stone,M,1943-02-20,12.0,ux/ui designer,15.0,12.35,0.8233333333333334,engineer,Carrollton,New Jersey
